Title,Date,Time,Fees,Info,Coach,Court,AdditionalInfo,Registrants,CleanedDate,AsOfDate,StartTime,EndTime,Duration
Private Lesson w/Pro - Any level,2024-08-19,9:00 AM - 10:00 AM,$100.00,Full,Garrett Peterson,Court #1,,1,2024-08-19,,0001-01-01 09:00:00,0001-01-01 10:00:00,1.0
Drill w/Expert - Intermediate,2024-08-19,11:00 AM - 12:00 PM,$25.00,Full,,Court #1,,4,2024-08-19,,0001-01-01 11:00:00,0001-01-01 12:00:00,1.0
Open-Play,2024-08-19,12:00 PM - 3:00 PM,$15.00,3 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,61,2024-08-19,,0001-01-01 12:00:00,0001-01-01 15:00:00,3.0
Private Lesson w/Pro - Any level,2024-08-19,3:00 PM - 4:00 PM,$100.00,Full,Garrett Peterson,Court #1,,1,2024-08-19,,0001-01-01 15:00:00,0001-01-01 16:00:00,1.0
Private Lesson w/Pro - Any level,2024-08-19,4:00 PM - 5:00 PM,$100.00,Full,Jacob Stegall,Court #1,,1,2024-08-19,,0001-01-01 16:00:00,0001-01-01 17:00:00,1.0
Ladies Beginner (<3.0),2024-08-19,7:00 PM - 9:00 PM,$140.00,$140.00 / 6 dates + tax,,"Court #1, Court #2, Court #3",Full,12,2024-08-19,,0001-01-01 19:00:00,0001-01-01 21:00:00,2.0
Open-Play,2024-08-19,9:00 PM - 12:00 AM,$15.00,1 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,63,2024-08-19,,0001-01-01 21:00:00,0001-01-01 00:00:00,-21.0
Drill w/Expert - Beginner/Advanced Beginner,2024-08-19,6:00 PM - 7:00 PM,$25.00,Full,,Court #2,,4,2024-08-19,,0001-01-01 18:00:00,0001-01-01 19:00:00,1.0
Open-Play,2024-08-19,7:00 AM - 10:00 AM,$15.00,1 of 12 spots remaining,,"Court #3, Court #4",,11,2024-08-19,,0001-01-01 07:00:00,0001-01-01 10:00:00,3.0
Silver Pickleball (50+) Open-Play,2024-08-19,9:00 AM - 12:00 PM,$15.00,Full,,"Court #6, Court #7, Court #8",,26,2024-08-19,,0001-01-01 09:00:00,0001-01-01 12:00:00,3.0
Open-Play,2024-08-20,7:00 AM - 10:00 AM,$15.00,Full,,"Court #1, Court #2",,13,2024-08-20,,0001-01-01 07:00:00,0001-01-01 10:00:00,3.0
Drill w/Expert - Advanced Intermediate,2024-08-20,10:00 AM - 11:00 AM,$25.00,2 of 4 spots remaining,,Court #1,,2,2024-08-20,,0001-01-01 10:00:00,0001-01-01 11:00:00,1.0
Open-Play,2024-08-20,12:00 PM - 3:00 PM,$15.00,Full,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,64,2024-08-20,,0001-01-01 12:00:00,0001-01-01 15:00:00,3.0
Drill w/Expert - Intermediate,2024-08-20,3:00 PM - 4:00 PM,$25.00,1 of 4 spots remaining,,Court #1,,3,2024-08-20,,0001-01-01 15:00:00,0001-01-01 16:00:00,1.0
Private Lesson w/Pro - Beginner/Advanced Beginner or Intermediate,2024-08-20,5:00 PM - 6:00 PM,$100.00,Full,Garrett Peterson,Court #1,,1,2024-08-20,,0001-01-01 17:00:00,0001-01-01 18:00:00,1.0
Open-Play,2024-08-20,9:00 PM - 12:00 AM,$15.00,1 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,63,2024-08-20,,0001-01-01 21:00:00,0001-01-01 00:00:00,-21.0
Silver Pickleball (50+) Open-Play,2024-08-20,9:00 AM - 12:00 PM,$15.00,6 of 32 spots remaining,,"Court #5, Court #6, Court #7, Court #8",,26,2024-08-20,,0001-01-01 09:00:00,0001-01-01 12:00:00,3.0
Drill w/Expert - 4.0+ (Advanced),2024-08-20,5:00 PM - 6:00 PM,$25.00,Full,,Court #5,,4,2024-08-20,,0001-01-01 17:00:00,0001-01-01 18:00:00,1.0
Ladies’ Intermediate League (DUPR 2.75 – 3.70),2024-08-20,7:00 PM - 9:00 PM,$160.00,$160.00 / 6 dates + tax,,"Court #5, Court #6, Court #7",2 of 16 spots remaining,14,2024-08-20,,0001-01-01 19:00:00,0001-01-01 21:00:00,2.0
Open-Play,2024-08-21,7:00 AM - 10:00 AM,$15.00,2 of 12 spots remaining,,"Court #1, Court #3",,10,2024-08-21,,0001-01-01 07:00:00,0001-01-01 10:00:00,3.0
Private Lesson w/Pro - Any level,2024-08-21,11:00 AM - 12:00 PM,$100.00,Full,Jacob Stegall,Court #1,,1,2024-08-21,,0001-01-01 11:00:00,0001-01-01 12:00:00,1.0
Open-Play,2024-08-21,12:00 PM - 3:00 PM,$15.00,21 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,43,2024-08-21,,0001-01-01 12:00:00,0001-01-01 15:00:00,3.0
Private Lesson w/Pro - Any level,2024-08-21,3:00 PM - 4:00 PM,$100.00,Full,Jacob Stegall,Court #1,,1,2024-08-21,,0001-01-01 15:00:00,0001-01-01 16:00:00,1.0
Private Lesson w/Pro - Beginner/Advanced Beginner or Intermediate,2024-08-21,4:00 PM - 5:00 PM,$100.00,Full,Garrett Peterson,Court #1,,1,2024-08-21,,0001-01-01 16:00:00,0001-01-01 17:00:00,1.0
Singles Clinic,2024-08-21,5:00 PM - 7:00 PM,$40.00,"Full
-1 REGISTRANT(S) WAITLISTED",Jacob Stegall,"Court #1, Court #2, Court #3, Court #4",,8,2024-08-21,,0001-01-01 17:00:00,0001-01-01 19:00:00,2.0
Open-Play,2024-08-21,9:00 PM - 12:00 AM,$15.00,1 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",,63,2024-08-21,,0001-01-01 21:00:00,0001-01-01 00:00:00,-21.0
Private Lesson w/Pro - Any level,2024-08-21,8:00 AM - 9:00 AM,$100.00,Full,Garrett Peterson,Court #2,,1,2024-08-21,,0001-01-01 08:00:00,0001-01-01 09:00:00,1.0
Drill w/Expert - Beginner/Advanced Beginner,2024-08-21,11:00 AM - 12:00 PM,$25.00,Full,,Court #3,,4,2024-08-21,,0001-01-01 11:00:00,0001-01-01 12:00:00,1.0
Silver Pickleball (50+) Open-Play,2024-08-21,9:00 AM - 12:00 PM,$15.00,1 of 32 spots remaining,,"Court #5, Court #6, Court #7, Court #8",,31,2024-08-21,,0001-01-01 09:00:00,0001-01-01 12:00:00,3.0
Private Lesson w/Pro - Any level,2024-08-21,3:00 PM - 4:00 PM,$100.00,Full,Austin Gridley,Court #5,,1,2024-08-21,,0001-01-01 15:00:00,0001-01-01 16:00:00,1.0
Private Lesson w/Pro - Any level,2024-08-21,4:00 PM - 5:00 PM,$100.00,Full,Austin Gridley,Court #5,,1,2024-08-21,,0001-01-01 16:00:00,0001-01-01 17:00:00,1.0
Play with Pro - Advanced Intermediate,2024-08-21,5:00 PM - 6:00 PM,$30.00,Full,,Court #5,,3,2024-08-21,,0001-01-01 17:00:00,0001-01-01 18:00:00,1.0
Private Lesson w/Pro - Any level,2024-08-21,6:00 PM - 7:00 PM,$100.00,Full,Austin Gridley,Court #5,,1,2024-08-21,,0001-01-01 18:00:00,0001-01-01 19:00:00,1.0
Men's Intermediate League (DUPR 2.75 – 3.70),2024-08-21,7:00 PM - 9:00 PM,$160.00,$160.00 / 6 dates + tax,,"Court #6, Court #7, Court #8",Full,16,2024-08-21,,0001-01-01 19:00:00,0001-01-01 21:00:00,2.0
