Title,Date,Time,Fees,Info,Coach,Court,Registrants,Revenue
Private Lesson w/Pro - Any level,2024-08-19,9:00 AM - 10:00 AM,100.0,Full,Garrett Peterson,Court #1,1,100.0
Drill w/Expert - Intermediate,2024-08-19,11:00 AM - 12:00 PM,25.0,Full,,Court #1,4,100.0
Open-Play,2024-08-19,12:00 PM - 3:00 PM,15.0,3 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",61,915.0
Private Lesson w/Pro - Any level,2024-08-19,3:00 PM - 4:00 PM,100.0,Full,Garrett Peterson,Court #1,1,100.0
Private Lesson w/Pro - Any level,2024-08-19,4:00 PM - 5:00 PM,100.0,Full,Jacob Stegall,Court #1,1,100.0
Ladies Beginner (<3.0),2024-08-19,7:00 PM - 9:00 PM,140.0,$140.00 / 6 dates + tax,,"Court #1, Court #2, Court #3",12,1680.0
Open-Play,2024-08-19,9:00 PM - 12:00 AM,15.0,1 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",63,945.0
Drill w/Expert - Beginner/Advanced Beginner,2024-08-19,6:00 PM - 7:00 PM,25.0,Full,,Court #2,4,100.0
Open-Play,2024-08-19,7:00 AM - 10:00 AM,15.0,1 of 12 spots remaining,,"Court #3, Court #4",11,165.0
Silver Pickleball (50+) Open-Play,2024-08-19,9:00 AM - 12:00 PM,15.0,Full,,"Court #6, Court #7, Court #8",26,390.0
Open-Play,2024-08-20,7:00 AM - 10:00 AM,15.0,Full,,"Court #1, Court #2",13,195.0
Drill w/Expert - Advanced Intermediate,2024-08-20,10:00 AM - 11:00 AM,25.0,2 of 4 spots remaining,,Court #1,2,50.0
Open-Play,2024-08-20,12:00 PM - 3:00 PM,15.0,Full,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",64,960.0
Drill w/Expert - Intermediate,2024-08-20,3:00 PM - 4:00 PM,25.0,1 of 4 spots remaining,,Court #1,3,75.0
Private Lesson w/Pro - Beginner/Advanced Beginner or Intermediate,2024-08-20,5:00 PM - 6:00 PM,100.0,Full,Garrett Peterson,Court #1,1,100.0
